,Модель,Описание,Цена
17,"
                    Смартфон Samsung SM-A346E Galaxy A34 5G 128Gb 6Gb графит (SM-A346EZKA)
","
                Смартфон; Производитель: Samsung. Диагональ экрана 6.6 ""  Разрешение экрана 2340x1080  Основная камера 48 Мп  Объем оперативной памяти 6 Гб  Тип Sim-карты Nano Sim  Количество Sim-карт 2  Объем встроенной памяти 128 Гб  Емкость аккумулятора 5000 мА*ч  Под
              ",29 640
18,"
                    Смартфон Samsung Galaxy S21 FE 5G 8/256Gb, SM-G990E, серый
","
                Материал: стекло/пластик; Линейка: Samsung Galaxy S21; Цвет: серый; Производитель: SAMSUNG. ОС Android 12, GPS, с защитой от пыли и влаги, время работы в режиме разговора, до: 37 ч, оперативная память: 8 ГБ, встроенная память: 256 ГБ
              ",48 290
19,"
                    Xiaomi Redmi Note 12 4/128GB Mint Green
","
                Colour: Зеленый; Производитель: Xiaomi. 2G, 3G, 4G, Wi-Fi; ОС Android; Дисплей сенсорный 16,7 млн цв. 6.67""; Камера 50 Mpix, AF; Разъем для карт памяти; MP3,  ГЛОНАСС / BEIDOU / Galileo / GPS; Вес: 186 г.
              ",14 990
20,"
                    Смартфон Huawei Y5P 2/32Gb, зеленый
","
                Материал: стекло/пластик; Линейка: Huawei Y5; Цвет: зеленый; Производитель: HUAWEI. ОС Android 10 HMS, FM-радио, GPS, оперативная память: 2 ГБ, встроенная память: 32 ГБ
              ",6 990
21,"
                    Xiaomi Redmi Note 12s 8/256GB Ice Blue
","
                Colour: Синий; Производитель: Xiaomi. 2G, 3G, 4G, Wi-Fi; ОС Android; Дисплей сенсорный 16,7 млн цв. 6.43""; Камера 108 Mpix, AF; MP3,  ГЛОНАСС / BEIDOU / Galileo / GPS; Вес: 179 г.
              ",20 990
22,"
                    Смартфон Samsung Galaxy Z Fold 4 12/256Gb, SM-F936B, серо-зеленый
","
                Материал: стекло/алюминий; Линейка: Samsung Galaxy Z Fold 4; Цвет: серо-зеленый; Производитель: SAMSUNG. ОС Android 12, GPS, с защитой от пыли и влаги, время работы в режиме разговора, до: 39 ч, оперативная память: 12 ГБ, встроенная память: 256 ГБ
              ",118 010
23,"
                    HUAWEI nova 10 SE 128GB Сияющий черный
","
                Colour: Черный; Производитель: HUAWEI. 2G, 3G, 4G, Wi-Fi; ОС EMUI; Дисплей сенсорный емкостный 16,7 млн цв. 6.67""; Камера 108 Mpix, AF; MP3, FM,  BEIDOU / GPS / Galileo / ГЛОНАСС; Вес: 184 г.
              ",22 990
24,"
                    Смартфон Samsung Galaxy S21 FE 5G 8/256Gb, SM-G990E, лаванда
","
                Материал: стекло/пластик; Линейка: Samsung Galaxy S21; Цвет: лаванда; Производитель: SAMSUNG. ОС Android 12, GPS, с защитой от пыли и влаги, время работы в режиме разговора, до: 37 ч, оперативная память: 8 ГБ, встроенная память: 256 ГБ
              ",48 290
25,"
                    Xiaomi 13 Lite 256GB Lite Blue
","
                Colour: Голубой; Производитель: Xiaomi. 2G, 3G, 4G, 5G, Wi-Fi; ОС Android; Дисплей сенсорный 16,7 млн цв. 6.55""; Камера 50 Mpix, AF; MP3,  ГЛОНАСС / GPS / BEIDOU / Galileo; Вес: 173 г.
              ",38 990
26,"
                    Смартфон Samsung Galaxy S21 FE 5G 8/256Gb, SM-G990E, светло-зеленый
","
                Материал: стекло/пластик; Линейка: Samsung Galaxy S21; Цвет: светло-зеленый; Производитель: SAMSUNG. ОС Android 12, GPS, с защитой от пыли и влаги, время работы в режиме разговора, до: 37 ч, оперативная память: 8 ГБ, встроенная память: 256 ГБ
              ",48 290
